gion code,code of the territorial agency,name of the territorial agency,postal address,chief's full name,telephone number,fax,phone of help service,phone of help service 2,working hours of the territorial agency,territory of service
42,38,"ОСП по Новоильинскому району г. Новокузнецка ГУФССП России по Кемеровской области – Кузбассу","654038, Россия, Кемеровская область - Кузбасс обл., , г. Новокузнецк, , ул. Тореза (Заводской р-н), д. 47, ,","Бычкова Кристина Геннадьевна","+7(3843) 72-91-28","+7(3843) 72-91-28",+7(3843)72-91-28,+73842778599,"Судебных приставов исполнителей: Вт с 09.00 до 13.00, Чт с 13.00 до 18.00; Старшим судебным приставом: Вт с 09.00 до 13.00, Чт с 13.00 до 18.00   ","- Новокузнецкий"
42,39,"СО по ОУПД КСОЮ ГУФССП России по Кемеровской области – Кузбассу","650000, Россия, Кемеровская область - Кузбасс обл., , г. Кемерово, , Советский пр-кт, д. 30, ,","Михайлов Евгений Анатольевич","+7(3842) 77-85-93","+7(3842) 36-33-91",,+73842778599,"Пн-Чт с 08.30 до 18.00, Пт с 08.30 до 17.30, перерыв с 13.00 до 13.48",
42,40,"ОСН ГУФССП России по Кемеровской области – Кузбассу","650000, Россия, Кемеровская область - Кузбасс обл., , г. Кемерово, , Советский пр-кт, д. 30, ,","Писаренко Денис Владимирович",,,,+73842778599,"Пн-Чт с 08.30 до 18.00, Пт с 08.30 до 17.30, перерыв с 13.00 до 13.48",
43,1,"Межрайонный отдел судебных приставов по исполнению особых исполнительных производств","610000, Россия, , , г. Киров, , ул. Московская, д. 57, , ","Кочкина Надежда Робертовна","+7(8332) 48-97-84","+7(8332) 48-97-50",,+78332489797,"Вт с 09.00 до 13.00, четверг с 13.00 до 18.00","- город Киров"
43,2,ООД,"610000, г.Киров, ул.Московская, д.57","Валеев Андрей Рафаилович","+7(8332) 48-99-38","+7(8332) 48-99-62",,+78332489797,"Пн с 08.30 до 10.30, Чт с 15.00 до 17.00","- город Киров"
43,3,"ОСП по г.Вятские Поляны и Вятскополянскому району","612900, Россия, Кировская обл., , г. Вятские Поляны, , ул. Урицкого, 17/25, , ","Венгер Наталья Леонидовна","+7(83334) 6-10-39","+7(83334) 6-10-39",+7(912)730-02-73,+78332489797,"Начальник отдела - Чт с 16.00 до 20.00, 1-ая Сб месяца с 10.00 до 13.00","- город Вятские Поляны"
43,4,"ОСП по Кильмезскому району","613570, Россия, Кировская обл., , , пгт. Кильмезь, ул. Зеленая, 13, , ","Косарева Светлана Генадьевна",,"+7(83338) 2-22-22",+7(912)730-10-37,+78332489797,"Начальник отдела каждый Чт с 16.00 до 20.00, 1-ая Сб месяца с 10.00 до 13.00","- Кильмезское"
43,5,"ОСП по Малмыжскому району","612920, Россия, Кировская обл., , г. Малмыж, , ул. Пушкаревская, д. 4, , ","Богданова Ольга Викторовна","+7(83347) 2-25-87","+7(83347) 2-25-87",+7(912)730-10-73,+78332489797,"Начальник отдела - каждый Чт с 16.00 до 20.00, 1-ая Сб месяца с 10.00 до 13.00","- Малмыжское"
43,6,"ОСП по г. Кирово-Чепецку и Кирово-Чепецкому району","613040, Россия, Кировская обл., , г. Кирово-Чепецк, , ул. Мира, д. 23, корп. А,","Леухина Светлана Николаевна","+7(83361) 4-82-79","+7(83361) 4-82-79",+7(912)730-06-73,+78332489797,"Начальник отдела - каждый Чт с 16.00 до 20.00, 1-ая Сб месяца с 10.00 до 13.00","- город Кирово-Чепецк"
43,7,"ОСП по Богородскому и Унинскому районам","612470, Россия, Кировская обл., Богородский р-н, , пгт. Богородское, ул. Советская, д. 39, ,","Долгунин Андрей Александрович","+7(83333) 2-17-52","+7(83333) 2-17-52",+7(912)730-15-73,+78332489797,"Начальник отдела - каждый Чт с 16.00 до 20.00, 1-ая Сб месяца с 10.00 до 13.00","- Богородское"
74,19,ООД,"454078, Россия, Челябинская обл., , г. Челябинск, , ул. Барбюса, д. 136В, ,","Клюкин Александр Викторович","+7(351) 252-53-00","+7(351) 252-53-00",,+73512553414,"Пн–Чт с 09.00 до 18.00, Пт с 09.00 до 16.45","- Челябинский"
43,8,"ОСП по Зуевскому и Фаленскому районам","612412, Россия, Кировская обл., , г. Зуевка, , ул. Опалева, 55, , ","Терюхова Татьяна Петровна","+7(83337) 2-60-26","+7(83337) 2-60-26",+7(912)730-12-34,+78332489797,"Пн-Чт с 09.00 до 16.00, Пт с 09.00 до 15.00","- Зуевское"
43,11,"СОСП по ОУПДС по г. Кирову","610000, Россия, , , г. Киров, , ул. Московская, д. 57, , ","Катаев Алексей Владимирович","+7(8332) 48-97-14","+7(8332) 48-97-03",,+78332489797,"Пн с 08.30 до 10.30, Чт с 15.00 до 17.00","- город Киров"
43,12,"ОСП по по г. Котельничу и Котельническому району","612600, Россия, Кировская обл., , г. Котельнич, , ул. Советская, д. 96, , ","Земцова Елена Петровна","+7(83342) 4-04-00","+7(83342) 4-08-02",+7(912)730-12-73,+78332489797,"Начальник отдела - каждый Чт с 16.00 до 20.00, 1-ая Сб месяца с 10.00 до 13.00","Котельничский муниципальный район"
43,13,"ОСП по Даровскому району","612140, Россия, Кировская обл., Даровской р-н, , пгт. Даровской, ул. Кооперативная, д. 8, ,","Демакова Людмила Викторовна","+7(83336) 2-26-89","+7(83336) 2-16-41",+7(912)730-15-51,+78332489797,"Начальник отдела - каждый Пн с 08.00 до 11.00, 1-ая Ср с 17.00 до 18.00","- Даровское"
43,14,"ОСП по Орловскому району","612270, Россия, Кировская обл., , г. Орлов, , ул. Кирова, д. 65, , ","Мальцева Ольга Александровна","+7(83365) 2-17-43","+7(83365) 2-28-79",+7(912)730-14-73,+78332489797,"Пн с 13.30 до 16.00, Пт с 13.00 до 16.00","- Орловское"
43,16,"ОСП по Шабалинскому и Свечинскому районам","612020, Россия, Кировская обл., , , пгт. Ленинское, ул. Советская, д. 33, , ","Пушкарёва Ирина Юрьевна","+7(83345) 2-16-76","+7(83345) 2-22-85",+7(912)730-16-73,+78332489797,"Пн-Чт с 9.15 до 16.00, Пт с 13.00 до 14.00","- Ленинское"
43,17,"ОСП по по Нововятскому району г. Кирова","610008, Россия, Кировская обл., , г. Киров, , ул. Орджоникидзе (Нововятский), д. 17, ,","Соболев Григорий Александрович","+7(8332) 48-55-72","+7(8332) 48-55-72",,+78332489797,"СПИ - каждый Вт с 10.00 до 15.00, каждый Чт с 16.00 до 20.00","- город Киров"
43,18,"ОСП по Куменскому району","613400, Россия, Кировская обл., Куменский р-н, , пгт. Кумены, ул. Лесная, д. 3, корп. а,","Бобошина Ирина Николаевна ","+7(83343) 2-11-30","+7(83343) 2-11-30",+7(912)730-18-81,+78332489797,"Начальник отдела - Чт с 16.00 до 20.00, 1-ая Сб месяца с 10.00 до 13.00","- Куменское"
43,19,"ОСП по Оричевскому району","612080, Россия, Кировская обл., Оричевский р-н, , пгт. Оричи, ул. Комсомольская, д. 5, ,","Семушина Мария Сергевна","+7(83354) 2-22-96","+7(83354) 2-22-96",+7(912)730-19-73,+78332489797,"Начальник отдела - каждый Чт с 16.00 до 20.00, 1-ая Сб месяца с 10.00 до 13.00","- Оричевское"
43,20,"ОСП по Нолинскому району.","613441, Россия, Кировская обл., , г. Нолинск, , ул. Заводская, 3, , ","Артемьева Татьяна Викторовна","+7(83368) 2-50-45","+7(83368) 2-20-38",+7(912)730-20-73,+78332489797,"Пн-Пт с 09.00 до 15.30","- Нолинское"
43,22,"ОСП по Сунскому и Немскому районам","612450, Россия, Кировская обл., , , пгт. Суна, ул. Большевиков, д. 2, , ","Воробьева Оксана Андреевна","+7(83369) 3-36-83","+7(83369) 3-36-83",+7(912)730-22-73,+78332489797,"Начальник отдела - каждый Чт с 16.00 до 20.00, 1-ая Сб месяца с 10.00 до 13.00","- Сунское"
43,23,"ОСП по Уржумскому району","613530, Россия, Кировская обл., , г. Уржум, , ул. Советская, д. 21, , ","Лелекова Елена Александровна","+7(83363) 2-35-30","+7(83363) 2-35-30",+7(912)730-23-45,+78332489797,"Начальник отдела - каждый Чт с 16.00 до 20.00, 1-ая Сб месяца с 10.00 до 13.00","- Уржумское"
43,24,"ОСП по Омутнинскому району","612740, Россия, Кировская обл., Омутнинский р-н, г. Омутнинск, , ул. Коковихина, д. 37, корп. б,","Кулакова Наталья Дмитриевна","+7(83352) 2-36-98","+7(83352) 2-36-98",+7(912)730-24-73,+78332489797,"Начальник отдела - каждый Чт с 16.00 до 20.00, 1-ая Сб месяца с 10.00 до 13.00","- Омутнинское"
43,25,"ОСП по Афанасьевскому району","613060, Россия, Кировская обл., , , пгт. Афанасьево, ул. Советская, д. 14, , ","Селезнева Светлана Александровна","+7(83331) 2-24-29","+7(83331) 2-19-84",+7(912)730-25-52,+78332489797,"Начальник отдела - каждый Чт с 16.00 до 20.00, 1-ая Сб месяца с 10.00 до 13.00","- Афанасьевское"
43,26,"ОСП по Верхнекамскому району","612820, Россия, Кировская обл., , г. Кирс, , ул. Кирова, д. 20, , ","Мелешкин Александр Михайлович","+7(83339) 2-16-99","+7(83339) 2-14-96",+7(912)730-26-73,+78332489797,"Начальник отдела - каждый Чт с 16.00 до 20.00, 1-ая Сб месяца с 10.00 до 13.00","- Кирсинское"
43,27,"ОСП по г. Слободскому и Слободскому району","613150, Россия, Кировская обл., , г. Слободской, , ул. Вятская, д. 30, , ","Рысева Надежда Николаевна","+7(83362) 4-16-39","+7(83362) 4-62-01",+7(912)730-27-72,+78332489797,"ежедневно с 13.00 до 14.30","- город Слободской"
43,28,"ОСП по Белохолуницкому району","613200, Россия, Кировская обл., Белохолуницкий р-н, г. Белая Холуница, , ул. Глазырина, д. 4 , ,","Салангин Павел Дмитриевич","+7(83364) 4-12-67","+7(83364) 4-21-38",+7(912)730-28-73,+78332489797,"Пн-Пт с 08.00 до 17.00, обед с 12.00 до 13.00","- Белохолуницкое"
43,29,"ОСП по Нагорскому району","613260, Россия, Кировская обл., Нагорский р-н, , пгт. Нагорск, ул. Коммуны, д. 26, ,","Соломин Андрей Леонидович","+7(83349) 2-10-62","+7(83349) 2-10-62",+7(912)730-29-73,+78332489797,"Пн с 13.30 до 17.30","- Нагорское"
43,30,"ОСП по Советскому и Лебяжскому районам","613340, Россия, Кировская обл., , г. Советск, , ул. Строителей, д. 26, , ","Логинов Сергей Евгеньевич","+7(83375) 2-34-54","+7(83375) 2-34-54",+7(912)730-30-90,+78332489797,"Пн-Чт с 08.00 до 17.00, Пт с 08.00 до 15.45","- Советское"
43,31,"ОСП по Арбажскому району","612180, Россия, Кировская обл., Арбажский р-н, , пгт. Арбаж, ул. Зеленая, д. 2, ,","Белякова Валентина Леонидовна","+7(83330) 2-14-01","+7(83330) 2-14-01",+7(912)730-16-61,+78332489797,"ежедневно с 10.00 до 15.00","- Арбажское"
43,32,"ОСП по Верхошижемскому району","613310, Россия, Кировская обл., , , пгт. Верхошижемье, ул. Кирова, д. 31, , ",,"+7(83335) 2-11-99","+7(83335) 2-11-99",+7(912)730-32-73,+78332489797,"Вт с 10.00 до 15.00, Чт с 16.00 до 20.00","- Верхошижемское"
43,34,"ОСП по Пижанскому району","613380, Россия, Кировская обл., Пижанский р-н, , пгт. Пижанка, ул. Труда, д. 8, ,","Баранова Вероника Николаевна","+7(83355) 2-15-83","+7(83355) 2-15-83",+7(912)730-34-73,+78332489797,"Пн-Пт с 08.00 до 17.00, обед с 12.00 до 13.00","- Пижанское"
43,35,"ОСП по по Юрьянскому району","613600, Россия, Кировская обл., , , пгт. Юрья, ул. Советская, д. 22, , ","Староверова Светлана Александровна","+7(83366) 2-19-24","+7(83366) 2-19-37",+7(912)730-34-56,+78332489797,"Пн-Пт с 08.00 до 17.00, перерыв с 12.00 до 13.00","- Юрьянское"
43,36,"ОСП по Мурашинскому району","613710,, Россия, Кировская обл., Мурашинский р-н, г. Мураши, , ул. Володарского, д. 4, корп. а,","Гущина Марина Вячеславовна","+7(83348) 2-16-78","+7(83348) 2-16-78",+7(912)730-20-02,+78332489797,"Начальник отдела - каждый Чт с 16.00 до 20.00, 1-ая Сб месяца с 10.00 до 13.00","- Мурашинское"
43,38,"ОСП по Опаринскому району","613810, Россия, Кировская обл., , , пгт. Опарино, ул. Октябрьская, д. 32, , ","Савушкина Оксана Витальевна","+7(83353) 2-17-21","+7(83353) 2-17-24",+7(912)730-21-73,+78332489797,"Пн-Чт с 08.00 до 17.00, Пт с 08.00 до 15.45, перерыв с 12.00 до 12.45","- Опаринское"
43,39,"ОСП по Подосиновскому району","613930, Россия, Кировская обл., , , пгт. Подосиновец, ул. Советская, д. 87, , ","Гмызин Николай Васильевич","+7(83351) 2-24-33","+7(83351) 2-16-46",+7(912)730-26-62,+78332489797,"Начальник отдела - Чт с 16.00 до 18.00, 1-ая и послед Сб месяца с 10.00 до 12.00","- Подосиновское"
43,40,"ОСП по по Яранскому, Кикнурскому и Тужинскому районам","612260, Россия, Кировская обл., Яранский р-н, г. Яранск, , ул. Первомайская, д. 23, ,","Пугачева Елена Николаевна","+7(83367) 2-00-99","+7(83367) 2-28-81",+7(912)730-30-80,+78332489797,"Чт с 16.00 до 20.00, 1-ая Сб месяца с 10.00 до 13.00","- Яранское"
43,42,"ОСП по Санчурскому району","612370, Россия, Кировская обл., , , пгт. Санчурск, ул. Ленина, д. 48, , ","Козлова Нина Валерьевна","+7(83357) 2-12-59","+7(83357) 2-12-59",+7(912)730-28-82,+78332489797,"Пн-Чт с 08.00 до 17.00, Пт с 08.00 до 15.45, перерыв с 12.00 до 12.45","- Санчурское"
43,44,"ОСП № 1 по Ленинскому району  г. Кирова","610000, г.Киров, ул.Московская, д.57","Еноктаева Мария Федоровна","+7(8332) 48-97-87","+7(8332) 48-97-05",,+78332489797,"Вт с 09.00 до 13.00, Чт с 13.00 до 18.00","- город Киров"
43,45,"ОСП № 2 по Ленинскому району  г. Кирова","610000, г.Киров, ул.Московская, д.57","Павловцева Наталья Юрьевна","+7(8332) 48-97-13","+7(8332) 48-97-05",,+78332489797,"Вт с 09.00 до 13.00, Чт с 13.00 до 18.00","- город Киров"
43,46,"ОСП по Октябрьскому району  г. Кирова","610000, г.Киров, ул.Московская, д.57","Попова Виктория Валерьевна","+7(8332) 48-97-40","+7(8332) 48-97-51",,+78332489797,"Вт с 09.00 до 13.00, Чт с 13.00 до 18.00","Муниципальные образования Кировской области"
43,47,"ОСП по Первомайскому району  г. Кирова","610000, Россия, , , г. Киров, , ул. Московская, 57, , ","Фоминых Марина Юрьевна","+7(8332) 48-56-68","+7(8332) 48-56-63",,+78332489797,"Вт с 09.00 до 13.00, Чт с 13.00 до 18.00","Муниципальные образования Кировской области"
43,48,"Отделение специального назначения",,"Аладьев Роман Юрьевич",,,,+78332489797,"Пн с 08.30 до 10.30, Чт с 15.00 до 17.00",
44,0,"УФССП России по Костромской области","156000, Россия, Костромская обл., , г. Кострома, , ул. Островского, д. 37, ,","Шильников Денис Андреевич",+7(4942)65-90-06,+7(4942)65-90-05,,+74942659075,"Пн, Ср, Пт 16:00-18:00 2-я, 3-я, 4-я суббота месяца 10:00-13:00","- город Кострома"
44,1,"Межрайонное отделение судебных приставов по особо важным исполнительным производствам","156016, Россия, Костромская обл., , г. Кострома, , ул. Профсоюзная, д. 36а, ,","Шабанов Павел Сергеевич",,+7(4942)65-90-58,+7(4942)65-90-66,+7(4942)65-90-75,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- город Кострома"
44,2,"Отделение судебных приставов по Фабричному округу г. Костромы","156016, Россия, Костромская обл., , г. Кострома, , ул. Профсоюзная, д. 36а, ,","Герасимова Мария Александровна",,+7(4942)65-90-70,+7(4942)65-90-77,+7(4942)65-90-75,"вторник с 10:00 до 15:00, перерыв с 13:00 до 14:00 четверг с 16:00 до 20:00","- город Кострома"
44,3,"Отделение судебных приставов по Давыдовскому и Центральному округам г. Костромы","156016, Россия, Костромская обл., , г. Кострома, , ул. Профсоюзная, д. 36а, ,","Михайлова Ольга Сергеевна",,+7(4942)65-90-80,+7(4942)65-90-88,+7(4942)65-90-75,"вторник с 10:00 до 15:00, перерыв с 13:00 до 14:00 четверг с 16:00 до 20:00","- город Кострома"
44,4,"Отделение судебных приставов по Заволжскому округу г. Костромы и Костромскому району","156016, Россия, Костромская обл., , г. Кострома, , ул. Профсоюзная, д. 36а, ,","Горбунова Светлана Сергеевна",,+7(4942)65-90-95,+7(4942)65-90-87,+7(4942)65-90-75,"вторник с 10:00 до 15:00, перерыв с 13:00 до 14:00 четверг с 16:00 до 20:00","- город Кострома"
44,5,"Отделение судебных приставов по г. Волгореченску","156901, Россия, Костромская обл., , г. Волгореченск, , ул. Набережная, д. 22, ,","Зобнина Ольга Ивановна",,+7(49453)3-10-58,+7(49453)3-40-07,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- город Волгореченск"
44,7,"Отделение судебных приставов по Буйскому району","157000, Россия, Костромская обл., Буйский р-н, г. Буй, , пл. Революции, д. 12, ,","Смирнова Анастасия Андреевна",,+7(49435)4-15-50,+7(49435)4-56-19,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- город Буй"
44,8,"Отделение судебных приставов по Вохомскому и Октябрьскому районам","157760, Россия, Костромская обл., Вохомский р-н, , п. Вохма, ул. Советская, д. 51, ,","Баранова Елена Владимировна",,+7(49450)2-14-20,+7(49450)2-24-35,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- Вохомское"
44,9,"Отделение судебных приставов по Галичскому району","157202, Россия, Костромская обл., Галичский р-н, г. Галич, , пл. Революции, д. 25, ,","Белоусова Александра Викторовна",,+7(49437)2-10-38,+7(49437)2-10-59,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- город Галич"
44,10,"Отделение судебных приставов по Кадыйскому району","157980, Россия, Костромская обл., Кадыйский р-н, , пгт. Кадый, ул. Полянская, д. 1, ,","Смирнова Ольга Николаевна",,+7(49442)3-50-60,+7(49442)3-50-60,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- поселок Кадый"
44,11,"Отделение судебных приставов по Кологривскому району","157440, Россия, Костромская обл., Кологривский р-н, г. Кологрив, , ул. Кирова, д. 28, ,","Любимцева Анна Анатольевна",,+7(49443)5-27-61,+7(49443)5-14-57,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- город Кологрив"
58,41,"Пензенское РОСП","440056, Россия, Пензенская обл., , г. Пенза, , ул. Ростовская, д. 83, ,","Никитина Инна Юрьевна",+7(8412)36-02-10,+7(8412)36-03-59,+7(8412)36-03-59,+78412906555,"Вт с 09:00 до 13:00, Чт с 13:00 до 18:00","- город Пенза"
45,21,"ОСП по ВАШ","640022, Россия, Курганская обл., , г. Курган, , ул. Дзержинского, 54, а,","Минченкова Юлия Николаевна",,,+7(3522)41-94-66,+73522491819,"Понедельник-четверг с 8:00 до 17:00, пятница с 8-00 до 15:45, перерыв с 12:00 до 12:45","- город Курган"
44,12,"Отделение судебных приставов по Красносельскому району","157940, Россия, Костромская обл., Красносельский р-н, , пгт. Красное-на-Волге, ул. Ракетная, д. 1а, ,","Седова Елена Сергеевна",,+7(49432)3-14-14,+7(49432)3-14-14,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- поселок Красное-на-Волге"
44,13,"Отделение судебных приставов по Макарьевскому району","157460, Россия, Костромская обл., Макарьевский р-н, г. Макарьев, , ул. Юрьевецкая, д. 23, ,","Дегтярев Сергей Юрьевич",,+7(49445)5-53-22,+7(49445)5-53-22,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- город Макарьев"
44,14,"Отделение судебных приставов по Мантуровскому району","157300, Россия, Костромская обл., Мантуровский р-н, г. Мантурово, , ул. Больничная, д. 5, ,","Ярошева Ольга Николаевна",,+7(49446)2-55-61,+7(49446)2-55-61,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- город Мантурово"
44,15,"Отделение судебных приставов по Межевскому району","157420, Россия, Костромская обл., Межевской р-н, , с. Георгиевское, ул. Советская, д. 33, ,","Жуков Александр Валерьевич",,+7(49447)5-27-08,+7(49447)5-23-81,+74942659075,"понедельник – четверг с 9:00 до 17:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 15.45","- Георгиевское"
44,16,"Отделение судебных приставов по Нейскому району","157330, Россия, Костромская обл., Нейский р-н, г. Нея, , ул. Любимова, д. 21, ,","Лагуткина Людмила Юрьевна",,+7(49444)3-23-88,+7(49444)3-25-62,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- город Нея"
44,17,"Отделение судебных приставов по Нерехтскому району","157800, Россия, Костромская обл., Нерехтский р-н, г. Нерехта, , ул. Калинина, д. 27а, ,","Горшкова Юлия Николаевна",,+7(49431)7-53-93,+7(49431)7-53-93,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- город Нерехта"
44,19,"Отделение судебных приставов по Островскому району","157900, Россия, Костромская обл., Островский р-н, , п. Островское, ул. Красноармейская, д. 19, ,","Львов Алексей Николаевич",,+7(49438)2-79-13,+7(49438)2-79-13,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- Островское (центральное)"
44,21,"Отделение судебных приставов по Парфеньевскому и Антроповскому районам","157270, Россия, Костромская обл., Парфеньевский р-н, , с. Парфеньево, ул. Ленина, д. 51, ,","Кузьмина Мария Дмитриевна",,+7(49440)2-10-33,+7(49440)2-10-33,+74942659075,"понедельник – четверг с 8:30 до 17:30, пятница с 8:30 до 16:15, перерыв с 12:00 ","- Парфеньевское"
44,23,"Отделение судебных приставов по Пыщугскому и Павинскому районам","157630, Россия, Костромская обл., Пыщугский р-н, , с. Пыщуг, ул. Первомайская, д. 9, ,","Попов Сергей Семенович",,+7(49452)2-71-72,+7(49452)2-71-41,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- Пыщугское"
44,24,"Отделение судебных приставов по Солигаличскому району","157170, Россия, Костромская обл., Солигаличский р-н, г. Солигалич, , ул. Вылузгина, д. 4, ,","Большакова Любовь Александровна",,+7(49436)5-16-95,+7(49436)5-22-00,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- город Солигалич"
44,25,"Отделение судебных приставов по Судиславскому району","157860, Россия, Костромская обл., Судиславский р-н, , пгт. Судиславль, ул. Советская, д. 18б, ,","Басалаева Наталья Николаевна",,+7(49433)2-12-51,+7(49433)2-11-71,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- поселок Судиславль"
44,26,"Отделение судебных приставов по Сусанинскому району","157080, Россия, Костромская обл., Сусанинский р-н, , пгт. Сусанино, ул. Советская, д. 4а, ,","Герасимова Маргарита Юрьевна",,+7(49434)9-08-02,+7(49434)9-08-02,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- поселок Сусанино"
44,27,"Отделение судебных приставов по Шарьинскому и Поназыревскому районам","157505, Россия, Костромская обл., Шарьинский р-н, г. Шарья, , ул. Имени 50-летия Советской Власти, д. 5б, ,","Виноградова Оксана Александровна",,+7(49449)5-25-39,+7(49449)5-25-40,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- город Шарья"
44,28,"Отделение оперативного дежурства","156000, Россия, Костромская обл., , г. Кострома, , ул. Островского, д. 37, ,","Дудников Андрей Иванович",,+7(4942)65-90-01,,+74942659075,—,"- город Кострома"
44,29,"Межрайонное отделение судебных приставов по обеспечению установленного порядка деятельности судов","156000, Россия, Костромская обл., , г. Кострома, , ул. Островского, д. 37, ,","Гришаев Александр Анатольевич",,+7(4942)65-90-48,,+74942659075,—,"- город Кострома"
44,30,"Отделение судебных приставов по Чухломскому району","157130, Россия, Костромская обл., Чухломский р-н, г. Чухлома, , ул. Октября, д. 2а, ,","Голубева Светлана Евгеньевна",,+7(49441)2-25-55,+7(49441)2-16-41,+74942659075,"понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45 пятница с 09.00 до 16.45","- город Чухлома"
44,32,"Межрайонное отделение судебных приставов по розыску должников, их имущества и розыску детей","156000, Россия, Костромская обл., , г. Кострома, , ул. Островского, д. 37, ,","Наволоцкий Дмитрий Анатольевич",,+7(4942)65-90-49,,+74942659075,"понедельник - пятница с 9:00 по 18:00, перерыв с 13:00 до 14:00","Муниципальные образования Костромской области"
44,33,"Отделение судебных приставов по исполнению исполнительных документов о взыскании алиментных платежей и дознанию по г. Костроме и Костромскому району","156000, Россия, Костромская обл., , г. Кострома, , ул. Островского, д. 37, ,","Огаркова Валентина Леонидовна",,,+7(4942)65-90-37,+74942659075,"вторник с 10:00 до 15:00, перерыв с 13:00 до 14:00 четверг с 16:00 до 20:00","- город Кострома"
44,34,"Отделение судебных приставов по взысканию административных штрафов по г. Костроме и Костромскому району","156000, Россия, Костромская обл., , г. Кострома, , ул. Островского, д. 37, ,","Хватов Игорь Павлович",,+7(4942)65-90-61,+7(4942)65-90-62,+74942659075,"вторник с 10:00 до 15:00, перерыв с 13:00 до 14:00 четверг с 16:00 до 20:00","- город Кострома"
44,35,"Отделение специального назначения","156000, Россия, Костромская обл., , г. Кострома, , ул. Островского, д. 37, ,","Кузнецов Виталий Анатольевич",,+7(4942)65-90-01,,+74942659075,—,"- город Кострома"
45,0,"УФССП России по Курганской области","640002, Россия, Курганская обл., , г. Курган, , ул. Коли Мяготина, 119, ,","Уварова Ирина Лазаревна","+7(3522) 49-18-02","+7(3522) 46-46-41",,+73522491819,"Понедельник с 8:00 до 12:00 и с 13:00 до 17:00, четверг с 13:00 до 17:00","- город Курган"
45,17,"СО по ОУПД КОА и ГС","640000, Курганская обл,,,Курган г,,,Коли Мяготина ул, 119","Фадюшин Иван Владимирович","+7(3522) 49-18-02",,,+73522491819,"Понедельник-четверг с 8:00 до 17:00, пятница с 8-00 до 15:45, перерыв с 12:00 до 12:45","- город Курган"
45,18,ООД,"640000, Курганская обл,,,Курган г,,,Коли Мяготина ул, 119","Фоминых Михаил Юрьевич","+7(3522) 49-18-02",,,+73522491819,"Понедельник-четверг с 8:00 до 17:00, пятница с 8-00 до 15:45, перерыв с 12:00 до 12:45","- город Курган"
45,19,"МРО по розыску должников, их имущества и розыску детей","640002, Россия, Курганская обл., , г. Курган, , ул. Коли Мяготина, 119, ,","Сарсымбаев Жарбол Казбекович","+7(3522) 49-18-02",,,+73522491819,"понедельник-четверг  с 8.00 до 17.00, пятница с 8.00 до 15.45; перерыв с 12.00 до 12.45","- город Курган"
45,20,"СО по ОУПД МС","640022, Россия, Курганская обл., , г. Курган, , ул. Дзержинского, 54, а,","Рахимов Антон Ержанович",+7(3522)49-18-02,,,+73522491819,"Понедельник-четверг с 8:00 до 17:00, пятница с 8-00 до 15:45, перерыв с 12:00 до 12:45","- город Курган"
45,22,ОСН,"640002, Россия, Курганская обл., , г. Курган, , ул. Коли Мяготина, 119, ,","Ерохов Сергей Александрович",+7(3522)49-18-02,,,+73522491819,"Понедельник-четверг с 8:00 до 17:00, пятница с 8-00 до 15:45, перерыв с 12:00 до 12:45","- город Курган"
